"","Team","Accuracy","Sensitivity","Specificity","Group","team_id","mascot","abbreviation","alt_name1","alt_name2","alt_name3","conference","division","color","alt_color","logos","venue_id","venue_name","city","state","zip","country_code","timezone","latitude","longitude","elevation","capacity","year_constructed","grass","dome"
"63","Colorado State","0.69","0.62","0.77","3",36,"Rams","CSU",NA,"CSU","Colorado State","Mountain West","Mountain","#004537","#ffc425","http://a.espncdn.com/i/teamlogos/ncaa/500/36.png",3761,"Sonny Lubick Field at Hughes Stadium","Fort Collins","CO","80526","US","America/Denver",40.5621183,-105.1416248,"1574.920898",34400,1968,FALSE,FALSE
"64","Duke","0.68","0.73","0.63","3",150,"Blue Devils","DUKE",NA,"DUKE","Duke","ACC","Coastal","#001A57","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/150.png",3982,"Wallace Wade Stadium","Durham","NC","27708","US","America/New_York",35.9953688,-78.9417564,"103.0028152",40004,1929,FALSE,FALSE
"65","Fresno State","0.66","0.62","0.69","3",278,"Bulldogs","FRES",NA,"FRES","Fresno State","Mountain West","West","#c41230","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/278.png",3660,"Bulldog Stadium","Fresno","CA","93740","US","America/Los_Angeles",36.8143527,-119.7580092,"102.564064",41031,1980,FALSE,FALSE
"66","Georgia Southern","0.78","0.91","0.33","3",290,"Eagles","GASO",NA,"GASO","Ga Southern","Sun Belt",NA,"#003775","#f0f0f0","http://a.espncdn.com/i/teamlogos/ncaa/500/290.png",3608,"Paulson Stadium","Statesboro","GA","30460","US","America/New_York",32.4122471,-81.7849296,"61.25376892",25000,1984,FALSE,FALSE
"67","Georgia State","0.69","0.8","0.5","3",2247,"Panthers","GAST",NA,"GAST","Georgia State","Sun Belt",NA,"#1e539a","#ebebeb","http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png",3495,"Georgia Dome","Atlanta","GA","39901","US","America/New_York",33.7576897,-84.4008285,"303.1637268",74228,1992,FALSE,FALSE
"68","Indiana","0.71","0.72","0.7","3",84,"Hoosiers","IND",NA,"IND","Indiana","Big Ten","East","#7D110C","#eeedeb","http://a.espncdn.com/i/teamlogos/ncaa/500/84.png",3830,"Memorial Stadium","Bloomington","IN","47408","US","America/Indiana/Indianapolis",39.1808959,-86.5256217,"231.6500854",52656,1960,FALSE,FALSE
"69","Iowa State","0.7","0.78","0.61","3",66,"Cyclones","ISU",NA,"ISU","Iowa State","Big 12",NA,"#660015","#830b2c","http://a.espncdn.com/i/teamlogos/ncaa/500/66.png",3772,"Jack Trice Stadium","Ames","IA","50011","US","America/Chicago",42.0139977,-93.6357716,"274.9135437",61500,1975,FALSE,FALSE
"70","Kansas","0.67","0.58","0.74","3",2305,"Jayhawks","KU",NA,"KU","Kansas","Big 12",NA,"#0022B4","#e8000d","http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png",3833,"Memorial Stadium","Lawrence","KS","66045","US","America/Chicago",38.9629418,-95.2463686,"274.855957",47000,1921,FALSE,FALSE
"71","Kent State","0.61","0.83","0.25","3",2309,"Golden Flashes","KENT",NA,"KENT","Kent State","Mid-American","East","#002445","#f0b510","http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png",3696,"Dix Stadium","Kent","OH","44242","US","America/New_York",41.1390935,-81.31346,"321.3641663",25319,1969,FALSE,FALSE
"72","NC State","0.61","0.6","0.61","3",152,"Wolfpack","NCST","North Carolina St.","NCST","NC State","ACC","Atlantic","#EF1216","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/152.png",3670,"Carter-Finley Stadium","Raleigh","NC","27695","US","America/New_York",35.8008001,-78.7195655,"117.0089951",58000,1966,FALSE,FALSE
"73","North Carolina","0.68","0.78","0.56","3",153,"Tar Heels","UNC",NA,"UNC","UNC","ACC","Coastal","#99bfe5","#13294b","http://a.espncdn.com/i/teamlogos/ncaa/500/153.png",3787,"Kenan Memorial Stadium","Chapel Hill","NC","27515","US","America/New_York",35.9069294,-79.0478889,"127.7569809",50500,1927,FALSE,FALSE
"74","Ohio","0.63","0.8","0.41","3",195,"Bobcats","OHIO",NA,"OHIO","Ohio","Mid-American","East","#295A29","#e4bb85","http://a.espncdn.com/i/teamlogos/ncaa/500/195.png",3876,"Peden Stadium","Athens","OH","45701","US","America/New_York",39.3212794,-82.1034315,"194.230896",24000,1929,FALSE,FALSE
"75","Oklahoma State","0.58","0.65","0.5","3",197,"Cowboys","OKST",NA,"OKST","Oklahoma State","Big 12",NA,"#FF6500","#ff9900","http://a.espncdn.com/i/teamlogos/ncaa/500/197.png",3646,"Boone Pickens Stadium","Stillwater","OK","74078","US","America/Chicago",36.125673,-97.066513,"276.4808655",55509,1919,FALSE,FALSE
"76","Ole Miss","0.65","0.74","0.54","3",145,"Rebels","MISS",NA,"MISS","Ole Miss","SEC","West","#001148","#00205b","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png",3974,"Vaught-Hemingway Stadium","Oxford","MS","38677","US","America/Chicago",34.3619837,-89.5342076,"146.8517151",64038,1915,TRUE,FALSE
"77","Penn State","0.68","0.72","0.64","3",213,"Nittany Lions","PSU",NA,"PSU","Penn State","Big Ten","East","#00265D","#002e5c","http://a.espncdn.com/i/teamlogos/ncaa/500/213.png",3632,"Beaver Stadium","University Park","PA","16802","US","America/New_York",40.8121958,-77.8561023,"354.1551514",106572,1960,FALSE,FALSE
"78","San José State","0.63","0.59","0.66","3",23,"Spartans","SJSU","San Jose St.","SJSU","San Jose State","Mountain West","West","#005893","#fdba31","http://a.espncdn.com/i/teamlogos/ncaa/500/23.png",3935,"Spartan Stadium","San Jose","CA","95112","US","America/Los_Angeles",37.3196675,-121.8682962,"28.30708694",30456,1933,FALSE,FALSE
"79","South Alabama","0.68","0.7","0.67","3",6,"Jaguars","USA",NA,"USA","South Alabama","Sun Belt",NA,"#003E7E",NA,"http://a.espncdn.com/i/teamlogos/ncaa/500/6.png",3797,"Ladd Peebles Stadium","Mobile","AL","36695","US","America/Chicago",30.6730374,-88.0755704,"9.828813553",33471,1948,FALSE,FALSE
"80","Syracuse","0.66","0.59","0.71","3",183,"Orange","SYR",NA,"SYR","Syracuse","ACC","Atlantic","#F37321","#0d1d37","http://a.espncdn.com/i/teamlogos/ncaa/500/183.png",1964,"Carrier Dome","Syracuse","NY","13244","US","America/New_York",43.0362269,-76.1363161,"162.6989746",49057,1980,FALSE,TRUE
"81","Toledo","0.69","0.78","0.59","3",2649,"Rockets","TOL",NA,"TOL","Toledo","Mid-American","West","#ffffff","#ffd51d","http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png",3739,"Glass Bowl","Toledo","OH","43606","US","America/New_York",41.6574777,-83.6135652,"181.4839783",26038,1937,FALSE,FALSE
"82","UMass","0.61","0.55","0.7","3",113,"Minutemen","UMASS",NA,"UMASS","UMass","FBS Independents",NA,"#880007",NA,"http://a.espncdn.com/i/teamlogos/ncaa/500/113.png",3985,"Warren McGuirk Alumni Stadium","Hadley","MA","1003 ","US","America/New_York",42.3773244,-72.5360595,"46.58664703",17000,1965,FALSE,FALSE
"83","UNLV","0.66","0.58","0.72","3",2439,"Rebels","UNLV","Nevada-Las Vegas","UNLV","UNLV","Mountain West","West","#000000","#c2c4c6","http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png",3914,"Sam Boyd Stadium","Whitney","NV","89154","US","America/Los_Angeles",36.085935,-115.01731,"490.0622253",36800,1971,FALSE,FALSE
"84","Utah State","0.67","0.67","0.66","3",328,"Aggies","USU",NA,"USU","Utah State","Mountain West","Mountain","#003263","#949ca1","http://a.espncdn.com/i/teamlogos/ncaa/500/328.png",3905,"Romney Stadium","Logan","UT","84322","US","America/Denver",41.7517394,-111.8116007,"1427.914429",25513,1968,FALSE,FALSE
"85","Vanderbilt","0.77","0.53","0.91","3",238,"Commodores","VAN",NA,"VAN","Vanderbilt","SEC","East","#000000","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/238.png",3973,"Vanderbilt Stadium","Nashville","TN","37212","US","America/Chicago",36.1440455,-86.8088942,"159.9194641",40351,1922,FALSE,FALSE
"86","Baylor","0.63","0.61","0.64","4",239,"Bears","BAY",NA,"BAY","Baylor","Big 12",NA,"#004834","#ffb81c","http://a.espncdn.com/i/teamlogos/ncaa/500/239.png",3724,"Floyd Casey Stadium","Waco","TX","76798","US","America/Chicago",31.530206,-97.148358,"151.2",50000,1950,FALSE,FALSE
"87","California","0.61","0.72","0.52","4",25,"Golden Bears","CAL",NA,"CAL","Cal","Pac-12","North","#031522","#ffc423","http://a.espncdn.com/i/teamlogos/ncaa/500/25.png",3831,"California Memorial Stadium","Berkeley","CA","94720","US","America/Los_Angeles",37.8710434,-122.2507729,"125.3108063",62467,1923,FALSE,FALSE
"88","East Carolina","0.64","0.71","0.57","4",151,"Pirates","ECU",NA,"ECU","ECU","American Athletic","East","#4b1869","#f0907b","http://a.espncdn.com/i/teamlogos/ncaa/500/151.png",3699,"Dowdy-Ficklen Stadium","Greenville","NC","27858","US","America/New_York",35.5968486,-77.364564,"19.0564537",50000,1963,FALSE,FALSE
"89","Georgia Tech","0.66","0.79","0.52","4",59,"Yellow Jackets","GT",NA,"GT","Georgia Tech","ACC","Coastal","#00223e","#002c56","http://a.espncdn.com/i/teamlogos/ncaa/500/59.png",721,"Bobby Dodd Stadium at Historic Grant Field","Atlanta","GA","30332","US","America/New_York",33.7724449,-84.3928054,"279.300415",55000,1913,TRUE,FALSE
"90","Illinois","0.71","0.86","0.51","4",356,"Fighting Illini","ILL",NA,"ILL","Illinois","Big Ten","West","#f77329","#fa6300","http://a.espncdn.com/i/teamlogos/ncaa/500/356.png",3597,"Alumni Memorial Field","Lexington","VA","24450","US","America/New_York",37.788983,-79.43505,"294.958252",10000,1962,TRUE,FALSE
"91","Louisiana","0.61","0.83","0.39","4",309,"Ragin' Cajuns","ULL","UL Lafayette","ULL","Louisiana","Sun Belt",NA,"#ce2842",NA,"http://a.espncdn.com/i/teamlogos/ncaa/500/309.png",3666,"Cajun Field","Lafayette","LA","70506","US","America/Chicago",30.2158434,-92.0417371,"3.556508303",41426,1971,FALSE,FALSE
"92","Louisiana Monroe","0.67","0.57","0.73","4",2433,"Warhawks","ULM","La.-Monroe","ULM","UL Monroe","Sun Belt",NA,"#231F20","#b18445","http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png",3817,"Malone Stadium","Monroe","LA","71209","US","America/Chicago",32.5308089,-92.0660602,"22.998209",30427,1978,FALSE,FALSE
"93","Miami (OH)","0.7","0.9","0.47","4",193,"RedHawks","M-OH",NA,"M-OH","Miami (OH)","Mid-American","East","#a4000c","#f0f0f0","http://a.espncdn.com/i/teamlogos/ncaa/500/193.png",3996,"Yager Stadium","Oxford","OH","45056","US","America/New_York",39.5197009,-84.7330255,"242.2643585",24286,1983,FALSE,FALSE
"94","Michigan","0.64","0.75","0.57","4",130,"Wolverines","MICH",NA,"MICH","Michigan","Big Ten","East","#00274c","#00274c","http://a.espncdn.com/i/teamlogos/ncaa/500/130.png",3558,"Michigan Stadium","Ann Arbor","MI","48109","US","America/Detroit",42.2658365,-83.7486956,"255.5500031",107601,1927,FALSE,FALSE
"95","Middle Tennessee","0.58","0.6","0.55","4",2393,"Blue Raiders","MTSU","Middle Tennessee State","MTSU","Mid Tennessee","Conference USA","East","#0079C2","#c3c5c8","http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png",3725,"Johnny Red"""" Floyd Stadium""""","Murfreesboro","TN","37132","US","America/Chicago",35.8511463,-86.3681649,"191.7279816",30788,1933,FALSE,FALSE
"96","Nebraska","0.66","0.75","0.53","4",158,"Cornhuskers","NEB",NA,"NEB","Nebraska","Big Ten","West","#F20017","#f5f1e7","http://a.espncdn.com/i/teamlogos/ncaa/500/158.png",3834,"Memorial Stadium","Lincoln","NE","68588","US","America/Chicago",40.820682,-96.705594,"354.9318848",85458,1923,FALSE,FALSE
"97","Oregon","0.66","0.87","0.43","4",2483,"Ducks","ORE",NA,"ORE","Oregon","Pac-12","North","#044520","#fee123","http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png",3626,"Autzen Stadium","Eugene","OR","97401","US","America/Los_Angeles",44.0582712,-123.0684883,"127.4198303",54000,1967,FALSE,FALSE
"98","Pittsburgh","0.64","0.75","0.57","4",221,"Panthers","PITT","Pitt","PITT","Pitt","ACC","Coastal","#003263","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/221.png",3752,"Heinz Field","Pittsburgh","PA","15260","US","America/New_York",40.4467648,-80.0157603,"220.5887146",68400,2001,FALSE,FALSE
"99","San Diego State","0.69","0.83","0.47","4",21,"Aztecs","SDSU",NA,"SDSU","San Diego State","Mountain West","West","#BF2C37","#a8996e","http://a.espncdn.com/i/teamlogos/ncaa/500/21.png",3932,"Qualcomm Stadium","San Diego","CA","92108","US","America/Los_Angeles",32.7831122,-117.1195716,"16.28476334",70561,1967,FALSE,FALSE
"100","South Florida","0.6","0.71","0.51","4",58,"Bulls","USF",NA,"USF","USF","American Athletic","East","#004A36","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/58.png",3886,"Raymond James Stadium","Tampa","FL","33620","US","America/New_York",27.9758691,-82.5033344,"11.07972908",65828,1998,FALSE,FALSE
"101","UT San Antonio","0.63","0.81","0.41","4",2636,"Roadrunners","UTSA","Texas-San Antonio","UTSA","UTSA","Conference USA","West","#002A5C","#f47321","http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png",3604,"Alamodome","San Antonio","TX","78299","US","America/Chicago",29.4169834,-98.4788143,"201.5526886",36582,1993,FALSE,TRUE
"102","Utah","0.65","0.81","0.5","4",254,"Utes","UTAH",NA,"UTAH","Utah","Pac-12","South","#890012","#7e8083","http://a.espncdn.com/i/teamlogos/ncaa/500/254.png",587,"Rice-Eccles Stadium","Salt Lake City","UT","84112","US","America/Denver",40.7599724,-111.8488255,"1411.543579",45807,1998,FALSE,FALSE
"103","Washington State","0.46","0.67","0.36","4",265,"Cougars","WSU",NA,"WSU","Washington St","Pac-12","North","#94022a","#6a747c","http://a.espncdn.com/i/teamlogos/ncaa/500/265.png",3820,"Martin Stadium","Pullman","WA","99164","US","America/Los_Angeles",46.731831,-117.1604991,"773.9526367",32952,1972,FALSE,FALSE
"104","Western Michigan","0.68","0.84","0.46","4",2711,"Broncos","WMU",NA,"WMU","W Michigan","Mid-American","West","#532e1f","#8b7f79","http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png",3980,"Waldo Stadium","Kalamazoo","MI","49008","US","America/Detroit",42.2860064,-85.6007573,"243.8211212",30200,1939,FALSE,FALSE
"105","Air Force","0.76","0.86","0.33","5",2005,"Falcons","AFA",NA,"AFA","Air Force","Mountain West","Mountain","#004a7b","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png",3713,"Falcon Stadium","Colorado Springs","CO","80840","US","America/Denver",38.9969701,-104.8436165,"2024.875732",46692,1962,FALSE,FALSE
"106","Army","0.87","0.93","0.33","5",349,"Black Knights","ARMY",NA,"ARMY","Army","FBS Independents",NA,"#ce9c00","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/349.png",3841,"Blaik Field at Michie Stadium","West Point","NY","10996","US","America/New_York",41.3874924,-73.9640891,"99.21277618",38000,1924,FALSE,FALSE
"107","Georgia","0.67","0.68","0.67","5",61,"Bulldogs","UGA",NA,"UGA","Georgia","SEC","East","#CC0000","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png",3917,"Sanford Stadium","Athens","GA","30602","US","America/New_York",33.9498197,-83.3733813,"186.1120758",92746,1929,TRUE,FALSE
"108","Mississippi State","0.72","0.45","0.79","5",344,"Bulldogs","MSST",NA,"MSST","Miss St","SEC","West","#762123","#c8c8c8","http://a.espncdn.com/i/teamlogos/ncaa/500/344.png",3693,"Davis Wade Stadium","Starkville","MS","39762","US","America/Chicago",33.4563403,-88.7933652,"110.2742081",61337,1914,TRUE,FALSE
"109","Northern Illinois","0.65","0.61","0.68","5",2459,"Huskies","NIU",NA,"NIU","N Illinois","Mid-American","West","#F1122C","#cc0000","http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png",3764,"Brigham Field at Huskie Stadium","DeKalb","IL","60115","US","America/Chicago",41.9339586,-88.7778357,"267.4530029",23595,1965,FALSE,FALSE
"110","Wisconsin","0.69","0.69","0.68","5",275,"Badgers","WIS",NA,"WIS","Wisconsin","Big Ten","West","#A00001","#f7f7f7","http://a.espncdn.com/i/teamlogos/ncaa/500/275.png",347,"Camp Randall Stadium","Madison","WI","53711","US","America/Chicago",43.06994,-89.4126943,"263.604126",80321,1917,FALSE,FALSE
"111","Akron","0.55","0.6","0.5","6",2006,"Zips","AKR",NA,"AKR","Akron","Mid-American","East","#00285e","#84754e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png",3768,"Summa Field at InfoCision Stadium","Akron","OH","44399","US","America/New_York",41.0725534,-81.5083408,"321.2875061",30000,2009,FALSE,FALSE
"112","Arizona","0.68","0.69","0.67","6",12,"Wildcats","ARIZ",NA,"ARIZ","Arizona","Pac-12","South","#002449","#00205b","http://a.espncdn.com/i/teamlogos/ncaa/500/12.png",3619,"Arizona Stadium","Tucson","AZ","85721","US","America/Phoenix",32.2288054,-110.9488677,"742.1530151",50782,1928,FALSE,FALSE
"113","Bowling Green","0.61","0.7","0.49","6",189,"Falcons","BGSU","Bowling Green State","BGSU","Bowling Green","Mid-American","East","#2b1000","#492000","http://a.espncdn.com/i/teamlogos/ncaa/500/189.png",3700,"Doyt Perry Stadium","Bowling Green","OH","43403","US","America/New_York",41.3780114,-83.6225,"205.9057465",24000,1966,FALSE,FALSE
"114","Colorado","0.76","0.85","0.63","6",38,"Buffaloes","COLO",NA,"COLO","Colorado","Pac-12","South","#d1c57e","#ffd200","http://a.espncdn.com/i/teamlogos/ncaa/500/38.png",3726,"Folsom Field","Boulder","CO","80309","US","America/Denver",40.0094746,-105.266905,"1634.041138",50183,1924,FALSE,FALSE
"115","Florida","0.59","0.65","0.55","6",57,"Gators","FLA",NA,"FLA","Florida","SEC","East","#0021A5","#0021a5","http://a.espncdn.com/i/teamlogos/ncaa/500/57.png",3634,"Ben Hill Griffin Stadium","Gainesville","FL","32653","US","America/New_York",29.6499357,-82.3485788,"44.97250748",88548,1930,TRUE,FALSE
"116","Florida Atlantic","0.66","0.71","0.61","6",2226,"Owls","FAU",NA,"FAU","FAU","Conference USA","East","#004B85","#bb2f4c","http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png",3715,"FAU Stadium","Boca Raton","FL","33499","US","America/New_York",26.3763763,-80.1015759,"3.613628864",29419,2011,FALSE,FALSE
"117","Florida International","0.69","0.79","0.56","6",2229,"Golden Panthers","FIU",NA,"FIU","FIU","Conference USA","East","#001538","#c5960c","http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png",218,"FIU Stadium","Miami","FL","33199","US","America/New_York",25.7525014,-80.3778912,"1.718581796",20000,1995,FALSE,FALSE
"118","Purdue","0.64","0.58","0.67","6",2509,"Boilermakers","PUR",NA,"PUR","Purdue","Big Ten","West","#B89D29","#a4a9ad","http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png",3907,"Ross-Ade Stadium","West Lafayette","IN","47907","US","America/Indiana/Indianapolis",40.4352253,-86.9186843,"197.5337677",57282,1924,FALSE,FALSE
"119","SMU","0.62","0.62","0.63","6",2567,"Mustangs","SMU","Southern Methodist","SMU","SMU","American Athletic","West","#E32F38","#ecdcb9","http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png",3735,"Gerald J. Ford Stadium","University Park","TX","75275","US","America/Chicago",32.8377223,-96.7827859,"169.4058075",32000,2000,FALSE,FALSE
"120","Southern Mississippi","0.63","0.7","0.56","6",2572,"Golden Eagles","USM",NA,"USM","Southern Miss","Conference USA","West","#FFAA3C","#ffc423","http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png",3815,"M. M. Roberts Stadium","Hattiesburg","MS","39402","US","America/Chicago",31.3289321,-89.3318118,"64.52726746",36000,1932,FALSE,FALSE
"121","Texas A&M","0.7","0.8","0.58","6",245,"Aggies","TA&M",NA,"TA&M","Texas A&M","SEC","West","#5C0025","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/245.png",3795,"Kyle Field","College Station","TX","77843","US","America/Chicago",30.6098891,-96.3403828,"108.824585",102733,1927,TRUE,FALSE
"122","UAB","0.78","0.9","0.61","6",5,"Blazers","UAB","Alabama-Birmingham","UAB","UAB","Conference USA","West","#003b28","#ffc845","http://a.espncdn.com/i/teamlogos/ncaa/500/5.png",3803,"Legion Field","Birmingham","AL","35294","US","America/Chicago",33.511389,-86.842778,"174.6382141",72000,1927,FALSE,FALSE
"123","UCF","0.65","0.81","0.5","6",2116,"Knights","UCF","Central Florida","UCF","UCF","American Athletic","East","#000000","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png",3652,"Bright House Networks Stadium","Orlando","FL","32816","US","America/New_York",28.6079765,-81.1927233,"20.94113731",44206,2007,FALSE,FALSE
"124","USC","0.65","0.62","0.67","6",30,"Trojans","USC",NA,"USC","USC","Pac-12","South","#ffc72c","#ae2531","http://a.espncdn.com/i/teamlogos/ncaa/500/30.png",477,"Los Angeles Memorial Coliseum","Los Angeles","CA","90089","US","America/Los_Angeles",34.014167,-118.287778,"42.50374222",77500,1923,TRUE,FALSE
"125","Washington","0.77","0.79","0.76","6",264,"Huskies","WASH",NA,"WASH","Washington","Pac-12","North","#2B2F64","#e8e3d3","http://a.espncdn.com/i/teamlogos/ncaa/500/264.png",3765,"Husky Stadium","Seattle","WA","98195","US","America/Los_Angeles",47.6503235,-122.3015746,"11.65622807",70138,1920,FALSE,FALSE
"126","Western Kentucky","0.67","0.63","0.71","6",98,"Hilltoppers","WKU",NA,"WKU","W Kentucky","Conference USA","East","#F32026","#b3b5b8","http://a.espncdn.com/i/teamlogos/ncaa/500/98.png",3796,"Houchens Industries-L. T. Smith Stadium","Bowling Green","KY","42101","US","America/Chicago",36.9847901,-86.4594041,"154.4346619",22113,1968,FALSE,FALSE
"127","Wyoming","0.75","0.83","0.62","6",2751,"Cowboys","WYO",NA,"WYO","Wyoming","Mountain West","Mountain","#533B22","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png",3984,"War Memorial Stadium","Laramie","WY","82071","US","America/Denver",41.31161,-105.5681384,"2200.153564",29181,1950,FALSE,FALSE
